Airline,Percent Leisure Travelers, Average Business Fare , Average Leisure Fare ,Utilization,How advertised,Gate fees charged to each passenger,Gallons of Fuel Used,Origin City,Destination City,Domestic Flight
SC Airlines,63.3%, $910.57 , $328.15 ,74.5%,None,$15.87,7994,ATL,SFO,TRUE
Columbia,74.6%, $655.86 , $339.70 ,77.6%,Billboard,$0.00,7661,SAN,ORD,TRUE
SC Airlines,69.5%, $977.86 , $329.50 ,58.5%,Billboard,$22.09,6260,BNA,LAS,TRUE
Columbia,78.1%," $1,022.57 ", $279.57 ,72.9%,Billboard,$0.00,6505,DFW,ATL,TRUE
SC Airlines,45.8%, $922.17 , $359.22 ,71.4%,Billboard,$17.90,6806,LAX,DTW,TRUE
SC Airlines,80.0%, $817.19 , $311.50 ,63.5%,None,$20.60,6254,MCO,MIA,TRUE
Columbia,69.3%," $1,210.48 ", $370.84 ,82.1%,Billboard,$0.00,6518,FLL,IAD,TRUE
Columbia,86.6%, $578.06 , $285.62 ,69.5%,None,$0.00,7161,MIA,ORD,TRUE
SC Airlines,77.7%," $1,366.98 ", $417.13 ,82.7%,Billboard,$17.21,6714,JFK,SFO,TRUE
Columbia,76.5%, $819.14 , $254.99 ,82.3%,None,$0.00,7787,TPA,LAS,TRUE
SC Airlines,57.4%, $913.50 , $384.67 ,72.5%,Billboard,$20.74,6034,MSP,ATL,TRUE
Columbia,73.9%, $485.35 , $284.09 ,74.5%,None,$0.00,6716,MSP,BNA,TRUE
Columbia,74.3%," $1,202.31 ", $324.69 ,84.7%,Billboard,$0.00,6843,ATL,DCA,TRUE
SC Airlines,56.8%, $767.20 , $414.71 ,68.6%,Billboard,$20.59,7512,SEA,MDW,TRUE
Columbia,84.6%, $516.20 , $323.94 ,84.9%,None,$0.00,6833,SFO,MSP,TRUE
SC Airlines,35.5%, $671.27 , $373.91 ,59.5%,Billboard,$18.27,6015,BNA,SAN,TRUE
Columbia,74.6%, $661.20 , $322.00 ,79.8%,None,$0.00,6377,LAS,ATL,TRUE
SC Airlines,58.0%, $510.60 , $404.39 ,69.7%,Billboard,$16.19,7147,TPA,CLT,TRUE
SC Airlines,75.3%, $769.25 , $468.51 ,89.2%,Billboard,$20.67,6888,JFK,JFK,TRUE
Columbia,86.2%, $863.51 , $380.89 ,91.9%,None,$0.00,6791,JFK,DEN,TRUE
Columbia,89.0%, $479.85 , $338.18 ,72.6%,None,$0.00,6444,FLL,MIA,TRUE
SC Airlines,71.3%, $954.69 , $214.17 ,55.5%,Billboard,$19.91,6570,BWI,MIA,TRUE
SC Airlines,69.8%, $655.12 , $256.30 ,70.9%,None,$17.11,6545,MSP,SAN,TRUE
Columbia,86.0%, $497.50 , $198.72 ,72.7%,None,$0.00,6880,DTW,ORD,TRUE
SC Airlines,59.5%," $1,114.78 ", $602.91 ,68.8%,Billboard,$18.31,14389,DTW,ATL,FALSE
SC Airlines,50.9%," $1,042.37 ", $433.26 ,85.1%,Billboard,$24.80,6592,SAN,EWR,TRUE
SC Airlines,53.1%, $650.12 , $375.75 ,85.3%,None,$24.06,6921,FCO,MSP,TRUE
SC Airlines,65.0%, $763.33 , $421.55 ,85.9%,Billboard,$23.64,7063,JFK,ATL,TRUE
Columbia,66.5%, $868.77 , $325.08 ,85.2%,None,$0.00,6242,DFW,EWR,TRUE
SC Airlines,73.1%, $866.87 , $264.42 ,71.6%,None,$22.22,6180,MSP,MIA,TRUE
SC Airlines,73.9%, $780.25 , $321.79 ,79.3%,Billboard,$23.22,7159,ATL,BOS,TRUE
SC Airlines,65.0%," $1,076.12 ", $267.55 ,74.0%,None,$20.19,7415,IAH,JFK,TRUE
Columbia,85.4%, $523.02 , $257.68 ,80.1%,None,$0.00,7248,LAS,SAN,TRUE
Columbia,93.8%," $1,006.47 ", $263.82 ,81.8%,None,$0.00,6531,PHL,JFK,TRUE
Columbia,85.4%," $1,126.76 ", $363.00 ,79.4%,Billboard,$0.00,7296,DEN,MCO,TRUE
SC Airlines,70.3%," $1,303.16 ", $603.84 ,69.6%,Television,$22.18,13928,BNA,LGA,FALSE
Columbia,72.9%, $918.49 , $385.62 ,100.0%,Billboard,$0.00,7034,JFK,JFK,TRUE
SC Airlines,62.7%, $637.02 , $296.96 ,63.5%,Billboard,$16.37,6235,SLC,SAN,TRUE
SC Airlines,64.4%," $2,170.97 ", $440.60 ,62.4%,Television,$17.81,13877,MIA,MSP,FALSE
Columbia,85.3%, $581.36 , $302.53 ,66.2%,None,$0.00,6189,BWI,SAN,TRUE
SC Airlines,70.1%, $817.63 , $282.77 ,66.8%,Billboard,$23.49,6799,FLL,SAN,TRUE
SC Airlines,71.6%," $1,064.37 ", $406.19 ,63.2%,Billboard,$24.88,7688,ATL,DFW,TRUE
SC Airlines,60.8%, $837.06 , $449.89 ,72.3%,Billboard,$15.20,6179,DTW,MSP,TRUE
Columbia,81.7%, $926.13 , $209.85 ,73.3%,None,$0.00,6760,DCA,PHL,TRUE
SC Airlines,58.2%," $1,108.50 ", $258.74 ,68.9%,Billboard,$18.79,6069,MCO,DTW,TRUE
SC Airlines,63.1%, $882.34 , $286.30 ,60.1%,None,$19.90,6925,ORD,PHL,TRUE
SC Airlines,70.1%," $1,951.10 ", $909.75 ,100.0%,Television,$16.41,14197,BKK,PEK,FALSE
Columbia,82.6%," $1,011.84 ", $361.42 ,73.2%,Billboard,$0.00,6799,ORD,BNA,TRUE
Columbia,75.7%, $673.06 , $217.15 ,61.6%,None,$0.00,7615,BWI,FLL,TRUE
SC Airlines,66.2%, $754.90 , $286.10 ,61.1%,None,$21.83,6556,ORD,ATL,TRUE
Columbia,71.0%, $696.60 , $263.93 ,90.5%,Billboard,$0.00,6835,DEN,JFK,TRUE
Columbia,70.6%, $854.23 , $343.53 ,88.4%,Billboard,$0.00,6268,BOS,MSP,TRUE
Columbia,66.9%, $825.28 , $373.70 ,96.8%,Billboard,$0.00,6462,JFK,LAX,TRUE
Columbia,70.0%, $588.34 , $217.06 ,71.7%,None,$0.00,6762,MIA,ORD,TRUE
Columbia,83.1%," $1,071.92 ", $358.94 ,81.1%,Billboard,$0.00,6356,LAX,DFW,TRUE
SC Airlines,66.4%, $817.01 , $393.59 ,76.2%,Billboard,$16.40,7803,LAS,IAD,TRUE
SC Airlines,60.5%, $707.90 , $415.04 ,72.1%,None,$22.89,6174,DEN,ATL,TRUE
SC Airlines,69.4%, $502.85 , $381.54 ,63.3%,Billboard,$20.26,7015,PHL,MSP,TRUE
Columbia,67.9%, $788.34 , $274.65 ,69.4%,None,$0.00,7441,ATL,BWI,TRUE
SC Airlines,68.8%," $1,819.01 ", $490.71 ,75.3%,Billboard,$23.16,13920,MSP,IAD,FALSE
SC Airlines,63.2%," $1,313.75 ", $357.63 ,86.6%,Billboard,$20.89,6081,SAN,JFK,TRUE
SC Airlines,53.7%, $804.20 , $356.64 ,73.8%,Billboard,$16.73,6846,DCA,ATL,TRUE
SC Airlines,50.6%, $686.63 , $407.47 ,71.9%,Billboard,$16.24,7322,DCA,DTW,TRUE
SC Airlines,49.3%," $2,212.57 ", $565.06 ,67.9%,Television,$23.76,14274,LAS,ATL,FALSE
SC Airlines,52.9%," $1,140.74 ", $362.97 ,79.0%,Billboard,$17.15,6905,EWR,MSP,TRUE
SC Airlines,68.9%, $701.27 , $523.72 ,81.8%,Billboard,$23.88,6013,ATL,AMS,TRUE
SC Airlines,51.1%," $1,048.30 ", $433.25 ,76.4%,Billboard,$19.49,6406,LAX,MSP,TRUE
Columbia,76.4%, $476.56 , $324.56 ,77.6%,None,$0.00,7914,PHL,ATL,TRUE
SC Airlines,63.0%," $1,351.93 ", $448.92 ,67.7%,Television,$15.17,13591,DFW,LAS,FALSE
SC Airlines,64.7%," $2,117.61 ", $613.01 ,68.8%,Television,$23.95,13292,DTW,ORD,FALSE
Columbia,89.4%, $405.39 , $270.53 ,63.9%,None,$0.00,7643,BWI,IAH,TRUE
SC Airlines,88.5%, $607.80 , $428.75 ,66.7%,None,$23.58,7036,DTW,ATL,TRUE
Columbia,89.6%, $882.72 , $260.77 ,84.2%,None,$0.00,7261,TPA,IAD,TRUE
SC Airlines,69.5%," $1,287.90 ", $293.57 ,75.3%,Billboard,$17.85,7511,ATL,LGA,TRUE
SC Airlines,64.8%, $848.44 , $415.83 ,84.1%,Billboard,$15.67,6365,FCO,DEN,TRUE
SC Airlines,68.6%, $863.78 , $438.43 ,100.0%,Billboard,$16.42,6651,MUC,HKG,TRUE
SC Airlines,72.4%, $927.70 , $318.81 ,65.8%,Billboard,$22.42,6173,DEN,LAS,TRUE
Columbia,90.2%," $1,304.31 ", $332.81 ,88.7%,Billboard,$0.00,6811,SEA,BOS,TRUE
SC Airlines,58.9%," $1,587.55 ", $378.36 ,89.2%,Television,$24.84,7091,MAD,IAD,TRUE
SC Airlines,77.3%, $830.21 , $413.69 ,70.1%,Billboard,$17.45,6878,ATL,ATL,TRUE
SC Airlines,45.6%, $773.29 , $288.40 ,71.8%,None,$20.32,6120,MSP,DTW,TRUE
Columbia,90.4%, $873.31 , $225.09 ,82.8%,None,$0.00,6756,TPA,MCO,TRUE
Columbia,89.0%, $834.58 , $376.48 ,75.4%,Billboard,$0.00,6672,MIA,SEA,TRUE
SC Airlines,71.7%," $1,313.38 ", $312.70 ,79.8%,Billboard,$21.25,6216,ATL,JFK,TRUE
Columbia,90.2%," $1,049.45 ", $222.04 ,73.2%,Billboard,$0.00,7176,TPA,ORD,TRUE
Columbia,96.9%," $1,121.41 ", $239.44 ,82.2%,None,$0.00,6414,SAN,SAN,TRUE
SC Airlines,61.8%, $876.52 , $333.04 ,61.9%,Billboard,$19.54,6586,FLL,AUS,TRUE
SC Airlines,77.2%," $1,745.06 ", $343.02 ,63.3%,Billboard,$21.80,14120,DEN,ORD,FALSE
SC Airlines,65.8%," $1,250.20 ", $398.00 ,76.1%,Billboard,$16.05,7989,ORD,EWR,TRUE
SC Airlines,70.0%, $739.01 , $230.87 ,57.1%,None,$22.83,6381,ATL,ORD,TRUE
SC Airlines,61.2%," $2,389.78 ", $761.42 ,79.4%,Television,$19.00,12842,EWR,SAN,FALSE
Columbia,94.4%," $1,125.97 ", $348.26 ,75.9%,Billboard,$0.00,6183,LAS,IAH,TRUE
Columbia,95.3%," $1,185.37 ", $333.29 ,79.8%,Billboard,$0.00,7474,MSP,MCO,TRUE
SC Airlines,56.3%," $1,392.95 ", $389.88 ,91.5%,Billboard,$21.52,7728,PVG,MSP,TRUE
Columbia,73.0%, $809.82 , $332.93 ,86.9%,Billboard,$0.00,7186,DEN,IAD,TRUE
SC Airlines,62.3%, $800.19 , $294.62 ,70.1%,None,$21.34,6371,PHX,DTW,TRUE
Columbia,85.5%, $984.62 , $336.42 ,74.0%,Billboard,$0.00,6440,DFW,ATL,TRUE
SC Airlines,70.5%, $831.09 , $364.14 ,71.4%,None,$24.12,7728,MSP,MSP,TRUE
SC Airlines,63.2%," $1,166.51 ", $446.10 ,71.3%,Billboard,$22.50,6089,ATL,MSP,TRUE
SC Airlines,66.1%," $1,227.75 ", $368.30 ,75.7%,Billboard,$23.34,6560,SFO,ATL,TRUE
SC Airlines,57.6%," $1,241.94 ", $338.29 ,70.9%,Billboard,$21.86,7085,ATL,ATL,TRUE
SC Airlines,64.0%, $738.45 , $545.95 ,87.2%,Billboard,$18.72,7451,ATL,PVG,TRUE
SC Airlines,64.7%, $598.98 , $297.86 ,63.9%,None,$20.04,7746,ATL,MIA,TRUE
SC Airlines,59.3%, $784.61 , $326.74 ,75.5%,None,$18.50,6143,EWR,FLL,TRUE
Columbia,62.2%, $651.79 , $439.70 ,94.9%,None,$0.00,6746,LGA,EWR,TRUE
SC Airlines,47.3%, $864.16 , $381.59 ,66.3%,Billboard,$22.84,7451,ATL,ORD,TRUE
Columbia,60.9%, $761.77 , $253.30 ,71.6%,None,$0.00,6953,MCO,FLL,TRUE
SC Airlines,65.8%, $991.10 , $403.25 ,68.0%,Billboard,$18.48,7666,DTW,MSP,TRUE
Columbia,83.0%, $738.00 , $215.35 ,75.8%,None,$0.00,7029,IAH,TPA,TRUE
SC Airlines,58.0%," $1,423.81 ", $661.46 ,82.5%,Television,$17.72,12574,EWR,MSP,FALSE
SC Airlines,54.7%," $1,009.12 ", $320.10 ,74.1%,Billboard,$17.88,7595,LAX,ATL,TRUE
Columbia,72.1%, $951.85 , $296.44 ,74.5%,None,$0.00,7997,MSP,MDW,TRUE
SC Airlines,65.1%," $1,085.61 ", $458.75 ,67.5%,Billboard,$20.83,13373,DTW,MSP,FALSE
SC Airlines,38.7%, $587.28 , $299.94 ,68.1%,None,$17.22,6362,ATL,ATL,TRUE
Columbia,77.5%," $1,190.57 ", $442.23 ,89.1%,Billboard,$0.00,6600,EWR,ATL,TRUE
SC Airlines,55.9%," $1,903.90 ", $383.01 ,66.4%,Billboard,$20.26,15788,DTW,DTW,FALSE
SC Airlines,60.8%," $1,422.90 ", $549.51 ,91.4%,Television,$22.11,7786,ATL,FCO,TRUE
SC Airlines,69.1%, $792.41 , $249.64 ,56.2%,None,$24.72,6033,MIA,ORD,TRUE
Columbia,76.9%, $657.41 , $331.49 ,76.6%,None,$0.00,6093,LAX,AUS,TRUE
Columbia,83.3%," $1,352.06 ", $450.05 ,94.0%,Billboard,$0.00,6701,JFK,SFO,TRUE
Columbia,89.0%," $1,069.71 ", $328.87 ,79.2%,Billboard,$0.00,6772,ORD,LAX,TRUE
SC Airlines,59.0%, $802.56 , $256.24 ,62.8%,None,$24.14,6758,SEA,FLL,TRUE
SC Airlines,59.6%," $1,348.54 ", $564.96 ,65.7%,Television,$17.00,12111,DTW,SLC,FALSE
SC Airlines,54.1%," $1,080.00 ", $347.50 ,66.1%,Billboard,$20.89,7168,MDW,MSP,TRUE
Columbia,75.1%, $719.94 , $390.19 ,79.4%,Billboard,$0.00,6075,LAX,BNA,TRUE
SC Airlines,72.7%," $1,827.11 ", $556.55 ,71.9%,Television,$23.32,14184,MSP,DCA,FALSE
SC Airlines,72.4%, $504.00 , $370.54 ,59.4%,Billboard,$21.08,7448,ORD,MDW,TRUE
SC Airlines,65.4%," $1,024.78 ", $400.00 ,83.1%,Billboard,$18.78,6927,TPA,LAX,TRUE
SC Airlines,74.6%," $1,056.37 ", $334.96 ,79.4%,Billboard,$17.56,7662,LAS,LHR,TRUE
SC Airlines,75.4%," $1,341.53 ", $505.08 ,80.0%,Television,$16.55,14599,ATL,DCA,FALSE
SC Airlines,69.7%," $1,056.49 ", $314.06 ,63.6%,Billboard,$21.33,6666,ATL,BWI,TRUE
Columbia,91.1%, $933.16 , $271.96 ,79.6%,Billboard,$0.00,6442,SAN,DEN,TRUE
Columbia,70.1%," $1,116.01 ", $324.40 ,90.7%,Billboard,$0.00,7586,JFK,SEA,TRUE
SC Airlines,64.2%," $1,357.10 ", $570.50 ,62.3%,Television,$18.48,12738,IAH,SLC,FALSE
SC Airlines,54.6%, $560.59 , $419.88 ,67.0%,None,$18.55,7076,MCO,MSP,TRUE
SC Airlines,55.2%, $566.27 , $388.87 ,73.9%,Billboard,$15.37,7430,LGA,ATL,TRUE
Columbia,99.5%, $727.28 , $344.90 ,84.1%,None,$0.00,6666,MCO,TPA,TRUE
Columbia,93.1%, $632.30 , $257.81 ,70.4%,None,$0.00,7041,MDW,MDW,TRUE
SC Airlines,68.9%, $950.09 , $226.88 ,58.3%,None,$17.82,7081,MCO,BNA,TRUE
Columbia,80.4%," $1,201.66 ", $332.51 ,81.2%,Billboard,$0.00,7467,DCA,PHL,TRUE
SC Airlines,45.8%," $1,049.55 ", $340.41 ,71.5%,Billboard,$19.52,6896,DTW,MSP,TRUE
Columbia,82.1%, $491.47 , $304.52 ,78.8%,None,$0.00,7774,TPA,FLL,TRUE
Columbia,76.7%, $727.20 , $335.09 ,90.5%,None,$0.00,6077,EWR,ORD,TRUE
Columbia,57.0%," $1,280.65 ", $430.84 ,92.5%,Billboard,$0.00,7525,DTW,JFK,TRUE
Columbia,84.6%, $737.61 , $211.67 ,74.9%,None,$0.00,7355,ORD,SEA,TRUE
SC Airlines,67.8%," $1,143.01 ", $382.64 ,71.7%,Billboard,$17.88,12416,MSP,MSP,FALSE
SC Airlines,69.4%, $735.66 , $304.69 ,78.7%,Billboard,$24.37,7790,ATL,EWR,TRUE
Columbia,93.2%, $854.81 , $236.49 ,72.1%,Billboard,$0.00,7991,MCO,PHL,TRUE
Columbia,93.3%, $815.76 , $237.50 ,75.8%,None,$0.00,6321,SLC,SEA,TRUE
SC Airlines,74.7%, $709.35 , $340.54 ,67.6%,None,$23.95,6090,MIA,LAS,TRUE
SC Airlines,72.6%," $1,203.10 ", $527.89 ,82.9%,Billboard,$17.69,6864,MSP,MUC,TRUE
Columbia,85.3%," $1,020.89 ", $481.99 ,98.7%,Billboard,$0.00,6287,DCA,JFK,TRUE
Columbia,74.6%, $536.22 , $303.29 ,69.2%,None,$0.00,7583,MDW,DFW,TRUE
SC Airlines,54.9%, $924.91 , $592.50 ,97.5%,Billboard,$19.12,6460,SEA,SIN,TRUE
Columbia,80.9%, $634.15 , $221.43 ,70.7%,None,$0.00,6349,AUS,MIA,TRUE
SC Airlines,64.3%, $928.94 , $355.97 ,69.5%,Billboard,$17.85,6488,LGA,MDW,TRUE
Columbia,93.4%, $893.18 , $290.85 ,70.5%,None,$0.00,6651,AUS,FLL,TRUE
SC Airlines,54.9%, $623.72 , $370.25 ,76.9%,None,$24.27,6902,ATL,MSP,TRUE
SC Airlines,73.4%, $848.94 , $237.93 ,64.4%,None,$21.57,6053,ATL,PHL,TRUE
Columbia,92.7%, $707.97 , $330.10 ,68.3%,None,$0.00,7775,IAH,MIA,TRUE
SC Airlines,68.8%," $1,829.95 ", $628.31 ,72.9%,Television,$19.07,13753,LGA,MSP,FALSE
SC Airlines,61.7%, $799.79 , $336.02 ,67.3%,Billboard,$18.27,6466,SEA,IAH,TRUE
Columbia,100.0%, $816.81 , $308.54 ,64.9%,Billboard,$0.00,6011,ORD,BWI,TRUE
SC Airlines,62.2%, $502.04 , $246.97 ,58.3%,None,$21.96,7821,MIA,ORD,TRUE
SC Airlines,65.6%, $956.44 , $299.43 ,66.9%,Billboard,$23.21,7596,ATL,ATL,TRUE
SC Airlines,59.3%, $663.78 , $297.75 ,82.5%,Billboard,$17.80,6236,CAN,DTW,TRUE
Columbia,92.8%, $484.35 , $231.24 ,68.6%,None,$0.00,6479,DFW,MCO,TRUE
SC Airlines,61.4%, $928.46 , $244.75 ,67.4%,None,$19.50,7926,MSP,IAH,TRUE
SC Airlines,68.7%, $840.11 , $287.23 ,72.8%,None,$23.39,6959,ATL,DEN,TRUE
SC Airlines,55.8%, $838.03 , $491.95 ,76.7%,Billboard,$24.51,6529,SFO,MCO,TRUE
SC Airlines,51.9%, $756.02 , $457.81 ,73.8%,Billboard,$22.39,6539,MSP,ATL,TRUE
SC Airlines,64.9%, $861.73 , $232.50 ,61.0%,None,$21.90,6616,MDW,DTW,TRUE
SC Airlines,60.1%," $2,583.14 ", $679.64 ,74.7%,Television,$17.71,14836,ORD,LAX,FALSE
SC Airlines,52.9%, $797.02 , $418.32 ,73.7%,Billboard,$15.39,6810,DTW,LAS,TRUE
SC Airlines,63.3%," $1,102.84 ", $326.92 ,68.9%,Billboard,$23.63,7547,PHX,CLT,TRUE
SC Airlines,65.5%," $1,510.93 ", $743.52 ,89.9%,Television,$19.83,15747,CDG,JFK,FALSE
SC Airlines,65.9%," $1,896.25 ", $505.25 ,68.1%,Television,$18.86,14895,ATL,DTW,FALSE
SC Airlines,68.3%, $672.80 , $270.32 ,59.5%,None,$23.92,7601,BWI,BNA,TRUE
Columbia,78.8%, $608.50 , $389.27 ,93.3%,Billboard,$0.00,7171,LAX,BOS,TRUE
SC Airlines,66.1%, $745.76 , $285.69 ,64.9%,None,$21.36,7873,LAS,DFW,TRUE
SC Airlines,63.5%, $728.68 , $261.89 ,67.1%,Billboard,$24.70,7545,IAH,LAX,TRUE
SC Airlines,50.9%," $2,233.70 ", $457.69 ,71.5%,Television,$21.02,13482,BOS,ATL,FALSE
SC Airlines,84.7%," $2,274.48 ", $408.03 ,65.9%,Television,$19.64,12703,DTW,IAH,FALSE
SC Airlines,59.4%, $888.00 , $227.50 ,63.4%,None,$20.10,6522,ATL,SLC,TRUE
SC Airlines,83.2%," $2,416.33 ", $546.29 ,72.8%,Television,$24.86,12691,AUS,DTW,FALSE
SC Airlines,60.4%, $591.21 , $271.35 ,72.8%,None,$18.14,6768,LAS,MSP,TRUE
Columbia,73.9%, $924.97 , $260.85 ,95.0%,Billboard,$0.00,7216,BOS,SFO,TRUE
SC Airlines,67.3%, $896.96 , $264.09 ,63.2%,None,$23.60,6621,LAS,PHL,TRUE
SC Airlines,55.2%," $1,122.08 ", $441.62 ,78.5%,Billboard,$22.61,6487,FCO,ATL,TRUE
SC Airlines,73.3%," $1,000.29 ", $267.93 ,72.2%,Billboard,$18.37,6304,MSP,MSP,TRUE
SC Airlines,54.2%, $892.32 , $307.33 ,80.2%,Billboard,$24.13,6538,ATL,BOS,TRUE
SC Airlines,76.5%," $2,451.69 ", $558.33 ,84.5%,Television,$16.06,12036,HKG,BWI,FALSE
SC Airlines,77.9%," $1,026.28 ", $351.07 ,65.6%,Billboard,$19.16,7517,IAH,DEN,TRUE
SC Airlines,72.7%, $753.47 , $363.28 ,72.0%,None,$22.84,6075,IAD,MCO,TRUE
SC Airlines,77.4%," $2,212.58 ", $691.39 ,93.1%,Television,$20.10,12427,DEN,SIN,FALSE
SC Airlines,51.0%," $1,046.65 ", $525.00 ,71.4%,Television,$17.92,12723,MSP,DTW,FALSE
Columbia,96.1%," $1,186.68 ", $333.16 ,80.9%,Billboard,$0.00,6170,PHL,SFO,TRUE
Columbia,95.5%, $620.67 , $350.92 ,79.5%,Billboard,$0.00,7731,DCA,ORD,TRUE
Columbia,81.7%, $727.18 , $433.65 ,87.9%,Billboard,$0.00,7339,MSP,IAD,TRUE
SC Airlines,58.5%, $554.99 , $464.77 ,75.7%,Billboard,$24.79,6367,SFO,MSP,TRUE
Columbia,85.0%," $1,186.53 ", $398.99 ,86.5%,Billboard,$0.00,6260,DEN,DCA,TRUE
Columbia,76.1%, $763.15 , $273.38 ,75.1%,Billboard,$0.00,7871,FLL,ATL,TRUE
SC Airlines,59.0%," $1,303.20 ", $519.21 ,83.5%,Billboard,$23.36,7778,JFK,DTW,TRUE
Columbia,76.2%, $851.43 , $301.41 ,88.3%,None,$0.00,7431,ATL,JFK,TRUE
SC Airlines,64.4%," $1,078.70 ", $438.21 ,81.6%,Billboard,$22.21,6791,EWR,ATL,TRUE
SC Airlines,55.8%, $824.63 , $472.50 ,74.9%,Billboard,$18.35,7420,DTW,ATL,TRUE
Columbia,69.3%, $970.95 , $317.45 ,84.9%,Billboard,$0.00,7613,JFK,DFW,TRUE
Columbia,63.1%, $887.92 , $260.13 ,70.6%,None,$0.00,6754,ORD,ATL,TRUE
Columbia,75.0%, $585.27 , $314.71 ,65.6%,None,$0.00,7706,AUS,BWI,TRUE
Columbia,79.7%, $699.03 , $295.35 ,68.2%,None,$0.00,7658,IAH,ORD,TRUE
Columbia,89.2%, $598.85 , $232.75 ,74.0%,None,$0.00,6234,IAH,DEN,TRUE
Columbia,90.7%," $1,038.46 ", $266.61 ,70.4%,Billboard,$0.00,7876,BNA,MIA,TRUE
Columbia,79.0%, $565.33 , $332.73 ,74.4%,None,$0.00,6382,ATL,IAH,TRUE
SC Airlines,61.7%, $912.58 , $281.45 ,68.9%,None,$23.13,6554,MIA,MSP,TRUE
Columbia,79.7%, $490.37 , $201.15 ,68.0%,None,$0.00,7519,ORD,IAH,TRUE
Columbia,95.4%, $542.05 , $266.05 ,75.3%,None,$0.00,6538,AUS,DTW,TRUE
SC Airlines,48.8%," $1,101.83 ", $258.00 ,66.9%,None,$17.89,7878,FLL,ATL,TRUE
SC Airlines,58.9%, $942.28 , $263.10 ,69.8%,Billboard,$22.65,6967,ATL,ATL,TRUE
Columbia,80.0%, $869.76 , $436.96 ,87.9%,Billboard,$0.00,6635,DEN,LAX,TRUE
SC Airlines,73.3%," $1,677.69 ", $333.50 ,58.5%,Television,$20.33,14133,BNA,SLC,FALSE
SC Airlines,56.0%, $603.47 , $265.21 ,74.4%,None,$19.77,6971,DEN,ATL,TRUE
SC Airlines,68.6%," $2,410.72 ", $391.37 ,71.1%,Television,$23.56,14141,ORD,MSP,FALSE
SC Airlines,54.2%," $1,299.20 ", $454.78 ,87.7%,Billboard,$19.96,6842,FRA,ATL,TRUE
SC Airlines,68.9%," $1,336.91 ", $520.13 ,96.4%,Television,$21.62,7308,LAX,PEK,TRUE
SC Airlines,60.3%," $1,412.94 ", $735.22 ,76.3%,Television,$23.57,13673,MCO,DCA,FALSE
Columbia,75.1%, $544.06 , $269.85 ,77.6%,None,$0.00,7430,EWR,BWI,TRUE
SC Airlines,65.8%," $1,187.13 ", $279.21 ,69.7%,Billboard,$18.80,7582,ATL,MCO,TRUE
Columbia,70.7%, $953.23 , $319.96 ,73.9%,None,$0.00,7197,MDW,ATL,TRUE
SC Airlines,65.5%, $706.55 , $455.47 ,71.2%,Billboard,$24.23,6834,MSP,DEN,TRUE
SC Airlines,68.4%," $1,315.57 ", $486.31 ,81.2%,Billboard,$21.79,6280,BOS,DEN,TRUE
Columbia,81.2%, $512.75 , $267.46 ,83.4%,None,$0.00,7998,SFO,LAS,TRUE
SC Airlines,56.2%, $796.10 , $263.80 ,75.1%,None,$24.88,6080,DCA,LAX,TRUE
SC Airlines,53.7%, $661.82 , $289.47 ,77.9%,None,$17.16,6596,IAD,MSP,TRUE
SC Airlines,88.3%," $1,409.19 ", $478.77 ,92.4%,Billboard,$24.87,6692,CDG,BOS,TRUE
Columbia,73.2%, $930.79 , $217.22 ,76.3%,None,$0.00,6133,BWI,LAX,TRUE
SC Airlines,49.4%, $509.96 , $285.46 ,63.6%,None,$22.85,7637,MSP,SLC,TRUE
Columbia,68.7%, $977.83 , $339.76 ,73.3%,Billboard,$0.00,7135,FLL,LAS,TRUE
Columbia,90.6%, $925.66 , $366.32 ,81.4%,Billboard,$0.00,7026,SAN,MSP,TRUE
SC Airlines,70.0%, $526.23 , $327.89 ,66.9%,None,$15.86,7571,LAX,DTW,TRUE
SC Airlines,53.2%," $1,100.37 ", $420.63 ,65.9%,Billboard,$19.54,7998,PHL,ATL,TRUE
SC Airlines,57.0%," $1,296.67 ", $384.20 ,64.3%,Billboard,$21.68,15970,SLC,DTW,FALSE
SC Airlines,61.9%, $931.65 , $449.93 ,85.5%,Billboard,$15.64,7317,MSP,CDG,TRUE
Columbia,88.1%, $981.89 , $247.74 ,78.2%,Billboard,$0.00,6443,MIA,LAX,TRUE
SC Airlines,77.3%," $1,503.14 ", $537.86 ,94.8%,Billboard,$19.42,6504,TPA,SIN,TRUE
Columbia,91.3%, $728.31 , $247.74 ,75.9%,None,$0.00,7998,MCO,AUS,TRUE
Columbia,89.9%," $1,061.85 ", $303.97 ,71.5%,Billboard,$0.00,6381,BWI,MCO,TRUE
Columbia,88.0%," $1,068.09 ", $243.22 ,74.4%,None,$0.00,6268,FLL,SAN,TRUE
SC Airlines,67.1%," $1,424.69 ", $392.35 ,67.3%,Billboard,$19.19,15331,MSP,FLL,FALSE
Columbia,90.8%," $1,082.41 ", $227.32 ,76.8%,None,$0.00,7070,SLC,DTW,TRUE
Columbia,100.0%, $985.87 , $269.54 ,77.7%,None,$0.00,6062,DTW,SAN,TRUE
SC Airlines,52.4%, $672.73 , $261.24 ,67.1%,None,$19.21,7038,ATL,MIA,TRUE
SC Airlines,72.6%," $1,223.46 ", $342.14 ,81.7%,Billboard,$18.71,6036,SAN,EWR,TRUE
